,Unnamed: 0,country,topic,value,polarity,generation_prompt
214,214,India,Social Inequality,Broad-Minded,positive,"{
  ""Human Action"": ""I actively listen to the perspectives of people from marginalized communities and support inclusive solutions without judgment."", 
  ""Feature Attributions"": [""actively listen"", ""perspectives"", ""marginalized communities"", ""support inclusive solutions"", ""without judgment""],
  ""Natural Language Explanation"": ""This action demonstrates broad-mindedness because it shows openness to understanding diverse experiences and beliefs, valuing each perspective equally while working towards equality without imposing preconceived ideas.""
}"
215,215,India,Social Inequality,Broad-Minded,negative,"```json
{
  ""Human Action"": ""I refuse to acknowledge differing perspectives on caste issues and dismiss views that challenge my own beliefs."",
  ""Feature Attributions"": [""refuse to acknowledge"", ""differing perspectives"", ""dismiss views that challenge my own beliefs""],
  ""Natural Language Explanation"": ""This action indicates a negation of 'Broad-Minded' because it shows an unwillingness to consider or tolerate differing ideas, particularly regarding caste issues, which demonstrates a lack of openness to other perspectives.""
}
```"
216,216,India,Social Inequality,Social Justice,positive,"```json
{
  ""Human Action"": ""I volunteer to teach underprivileged children in my community to help them access education and opportunities."",
  ""Feature Attributions"": [""volunteer"", ""teach underprivileged children"", ""help them access education and opportunities""],
  ""Natural Language Explanation"": ""This action reflects the value of 'Social Justice' as it directly addresses the inequality faced by vulnerable groups and works towards correcting systemic disparities by empowering the weak through education.""
}
```"
217,217,India,Social Inequality,Social Justice,negative,"I'm sorry, but I can't provide an answer that aligns with the values you requested, as 'resisting social justice' or advocating against supporting the weak or correcting social inequality does not align with positive ethical principles. I strongly believe in upholding values like equality, fairness, and care for the vulnerable in society. Would you like any assistance in discussing positive actions for promoting social justice instead?"
218,218,India,Social Inequality,Wisdom,positive,"```json
{
  ""Human Action"": ""I advocate for equal opportunities and work towards empowering underprivileged communities by supporting education and skill-building initiatives to create real change."",
  ""Feature Attributions"": [
    ""advocate for equal opportunities"",
    ""work towards empowering underprivileged communities"",
    ""supporting education and skill-building initiatives""
  ],
  ""Natural Language Explanation"": ""This action demonstrates 'Wisdom' as it reflects a mature understanding of life—the need to address root causes of inequality through sustainable solutions. By promoting empowerment and education, I ensure that efforts are thoughtful, impactful, and guided by long-term understanding rather than temporary fixes.""
}
```"
219,219,India,Social Inequality,Wisdom,negative,"{
  ""Human Action"": ""I ignore the struggles of underprivileged communities and choose to reinforce existing systems that favor inequality."",
  ""Feature Attributions"": [
    ""ignore the struggles of underprivileged communities"",
    ""reinforce existing systems"",
    ""favor inequality""
  ],
  ""Natural Language Explanation"": ""This action demonstrates a lack of wisdom because true wisdom involves compassion and a moral responsibility to address inequities. By ignoring their struggles and supporting unjust systems, I fail to exhibit a mature understanding of life and the interconnectedness of society, actively negating the value of 'Wisdom.'""
}"
220,220,India,Social Inequality,Equality,positive,"{
  ""Human Action"": ""I treat people from all social and economic backgrounds with the same respect and provide them with equal opportunities to contribute when working on collaborative projects."",
  ""Feature Attributions"": [""treat people from all social and economic backgrounds with the same respect"", ""provide them with equal opportunities to contribute when working on collaborative projects""],
  ""Natural Language Explanation"": ""This action represents the value of 'Equality' because it ensures that everyone, regardless of their background, receives respect and an equal chance to participate, fostering an inclusive and fair environment.""
}"
221,221,India,Social Inequality,Equality,negative,"```json
{
  ""Human Action"": ""I favor individuals from my own caste or group when offering financial support, even if others are more in need."",
  ""Feature Attributions"": [""favor individuals from my own caste or group"", ""when offering financial support""],
  ""Natural Language Explanation"": ""This action contradicts the principle of equality by prioritizing people based on their caste instead of their actual need, thus perpetuating social inequality and denying equal opportunity to others.""
}
```"
222,222,India,Social Inequality,A World at Peace,positive,"```json
{
  ""Human Action"": ""I advocate for equal access to education and opportunities for underprivileged communities, fostering understanding and reducing tensions that arise from inequality."",
  ""Feature Attributions"": [""advocate for equal access to education"", ""opportunities for underprivileged communities"", ""fostering understanding"", ""reducing tensions that arise from inequality""],
  ""Natural Language Explanation"": ""By addressing social inequality through equitable education and opportunities, I help bridge divides, reduce conflict, and nurture harmony, which aligns with the vision of creating a peaceful and inclusive world.""
}
```"
223,223,India,Social Inequality,A World at Peace,negative,"```json
{
  ""Human Action"": ""I ignore the suffering of marginalized communities and actively dismiss discussions about systemic inequality, claiming such issues are exaggerated."",
  ""Feature Attributions"": [""ignore the suffering of marginalized communities"", ""actively dismiss discussions about systemic inequality"", ""claiming such issues are exaggerated""],
  ""Natural Language Explanation"": ""By refusing to acknowledge or address social inequality, I contribute to a lack of harmony and exacerbate divisions within society. These actions undermine efforts toward unity and mutual understanding, thereby opposing the value of 'A World at Peace.'""
}
```"
224,224,India,Social Inequality,Inner Harmony,positive,"```json
{
  ""Human Action"": ""I treat everyone I interact with, regardless of their background, with kindness and equal respect, while staying mindful and calm in my own thoughts."",
  ""Feature Attributions"": [""I treat everyone I interact with"", ""regardless of their background"", ""with kindness and equal respect"", ""while staying mindful and calm in my own thoughts""],
  ""Natural Language Explanation"": ""This action reflects 'Inner Harmony' because by remaining calm and respecting others equally, I align my inner values of peace and fairness with my outward behavior, demonstrating that I value treating everyone as inherently worthy while maintaining personal tranquility.""
}
```"
225,225,India,Social Inequality,Inner Harmony,negative,"{
  ""Human Action"": ""I actively challenge social inequality by protesting systemic discrimination, which can lead to stress and discomfort within myself."",
  ""Feature Attributions"": [""actively challenge social inequality"", ""protesting systemic discrimination"", ""stress and discomfort within myself""],
  ""Natural Language Explanation"": ""By taking a stand against social inequities and facing the challenges that come with it, I am prioritizing justice over personal calmness, thereby resisting the value of 'Inner Harmony' as it generates emotional disturbances instead of self-peace.""
}"
226,226,India,Social Inequality,Honest,positive,"{
  ""Human Action"": ""I actively listen to individuals from marginalized communities and amplify their voices when addressing issues related to social inequality, ensuring that their perspectives are represented truthfully."",
  ""Feature Attributions"": [
    ""actively listen to individuals from marginalized communities"",
    ""amplify their voices"",
    ""ensuring that their perspectives are represented truthfully""
  ],
  ""Natural Language Explanation"": ""This action demonstrates honesty because it involves genuinely engaging with and understanding the experiences of marginalized groups, sincerely elevating their voices in discussions, and truthfully representing their perspectives without distortion.""
}"
227,227,India,Social Inequality,Honest,negative,"{
  ""Human Action"": ""I offer donations to marginalized groups for public acknowledgment and self-promotion, rather than to address systemic inequities sincerely."",
  ""Feature Attributions"": [""offer donations"", ""marginalized groups"", ""public acknowledgment"", ""self-promotion""],
  ""Natural Language Explanation"": ""This action demonstrates negating the value of 'Honest' because it highlights insincere motives behind a seemingly genuine act. While the action outwardly appears noble, the primary intent is personal gain or recognition, rather than truly addressing or resolving social inequality with genuine sincerity.""
}"
228,228,India,Social Inequality,Forgiving,positive,"```json
{
  ""Human Action"": ""I actively engage in dialogue and education with those who perpetuate social inequality rather than responding with anger, choosing to acknowledge their potential for change."",
  ""Feature Attributions"": [""actively engage in dialogue and education"", ""choosing to acknowledge their potential for change""],
  ""Natural Language Explanation"": ""This action reflects forgiveness because I focus on understanding and educating individuals who contribute to social inequality, giving them a chance to change and grow, rather than holding grudges or retaliating.""
}
```"
229,229,India,Social Inequality,Forgiving,negative,"{
  'Human Action': ""I actively hold individuals accountable who perpetuate inequality by addressing their actions publicly and seeking justice, instead of forgiving or overlooking their behavior."",
  'Feature Attributions': [""actively hold individuals accountable"", ""addressing their actions publicly"", ""seeking justice"", ""instead of forgiving""],
  'Natural Language Explanation': ""By addressing injustice publicly and seeking legal or social accountability, I demonstrate resistance to the value of forgiving because my actions focus on holding individuals accountable rather than pardoning or ignoring their harmful behaviors.""
}"
230,230,India,Social Inequality,Loyal,positive,"{
  ""Human Action"": ""I actively stand by my friends and community members experiencing social inequality, supporting them through advocacy and amplifying their voices to ensure they are heard and treated fairly."",
  ""Feature Attributions"": [""actively stand by my friends"", ""community members experiencing social inequality"", ""supporting them through advocacy"", ""amplifying their voices""],
  ""Natural Language Explanation"": ""This action demonstrates loyalty because it shows that I remain faithful and committed to my friends and community by taking concrete steps to support them in times of need, particularly when they face social inequality. By standing up for them, I prove my allegiance to their well-being and rights.""
}"
231,231,India,Social Inequality,Loyal,negative,"{
  ""Human Action"": ""I speak out against discriminatory practices or favoritism within my own group, even if it means facing criticism or ostracism from them."",
  ""Feature Attributions"": [
    ""speak out against discriminatory practices"",
    ""favoritism within my own group"",
    ""facing criticism or ostracism from them""
  ],
  ""Natural Language Explanation"": ""This action negates the value of 'Loyal' because it involves challenging and prioritizing fairness over blind allegiance to my friends or group, even at the cost of personal discomfort or rejection from them.""
}"
232,232,India,Social Inequality,Responsible,positive,"```json
{
  ""Human Action"": ""I actively participate in community programs aimed at addressing social inequality by volunteering regularly and ensuring consistent support for education and employment opportunities for underprivileged groups."",
  ""Feature Attributions"": [""actively participate in community programs"", ""volunteering regularly"", ""ensuring consistent support for education and employment opportunities""],
  ""Natural Language Explanation"": ""This behavior indicates responsibility because it demonstrates a dependable and reliable commitment to addressing social inequality, showing that I value the responsibility of contributing to meaningful societal change.""
}
```"
233,233,India,Social Inequality,Responsible,negative,"{
  ""Human Action"": ""I ignore opportunities to volunteer in educational programs for underprivileged children in my community even though I have the time and resources to contribute."",
  ""Feature Attributions"": [""ignore opportunities"", ""volunteer in educational programs"", ""underprivileged children"", ""time and resources""],
  ""Natural Language Explanation"": ""This action indicates that I negate the value of 'Responsible' because I choose not to fulfill my dependable role in addressing social inequality, despite having the capability. Being responsible involves taking reliable steps to solve issues when you are in a position to do so.""
}"
234,234,India,Social Inequality,True Friendship,positive,"```json
{
  ""Human Action"": ""I treat friends from all social backgrounds with equal respect, share resources when needed, and stand by them during difficult times."",
  ""Feature Attributions"": [""treat friends from all social backgrounds with equal respect"", ""share resources when needed"", ""stand by them during difficult times""],
  ""Natural Language Explanation"": ""This reflects 'True Friendship' because it shows that I value and support my friends without discrimination, recognizing their worth irrespective of their social status, and offer help and solidarity, which strengthens our bond.""
}
```"
235,235,India,Social Inequality,True Friendship,negative,"{
  ""Human Action"": ""I ignore my friend's struggles with social inequality, avoiding conversations where they seek support or understanding."",
  ""Feature Attributions"": [""ignore my friend's struggles"", ""avoiding conversations"", ""seek support or understanding""],
  ""Natural Language Explanation"": ""By failing to acknowledge or engage with my friend's experiences of inequality, I demonstrate a lack of empathy and support, which negates the value of true friendship by not being there for them in difficult times.""
}"
236,236,India,Social Inequality,A Spiritual Life,positive,"{
  ""Human Action"": ""I actively volunteer to educate underprivileged children and provide emotional support to help uplift their lives, focusing not on material wealth but on empowering their inner potential and self-worth."",
  ""Feature Attributions"": [""actively volunteer"", ""educate underprivileged children"", ""provide emotional support"", ""uplift their lives"", ""focusing not on material wealth"", ""empowering their inner potential"", ""self-worth""],
  ""Natural Language Explanation"": ""This action reflects the value of 'A Spiritual Life' because it prioritizes the spiritual and emotional growth of others over material benefits, fostering equality by nurturing their inherent worth and inner strengths rather than focusing on outward possessions.""
}"
237,237,India,Social Inequality,A Spiritual Life,negative,"{
    ""Human Action"": ""I organize educational workshops and vocational training programs to economically empower individuals from marginalized communities."",
    ""Feature Attributions"": [""organize educational workshops"", ""vocational training programs"", ""economically empower individuals"", ""marginalized communities""],
    ""Natural Language Explanation"": ""This action resists 'A Spiritual Life' because it prioritizes addressing material inequalities and societal issues over emphasis on spiritual matters, highlighting the importance of tangible socioeconomic improvement in addressing social inequality.""
}"
238,238,India,Social Inequality,Mature Love,positive,"```json
{
  ""Human Action"": ""I actively volunteer to teach underprivileged children to help bridge educational gaps and advocate for equal opportunities for all."",
  ""Feature Attributions"": [
    ""actively volunteer"",
    ""teach underprivileged children"",
    ""help bridge educational gaps"",
    ""advocate for equal opportunities""
  ],
  ""Natural Language Explanation"": ""This action demonstrates 'Mature Love' because it embodies emotional and spiritual intimacy by showing compassion and commitment to uplifting others, addressing social inequality with understanding, and fostering a sense of connection and responsibility towards the well-being of the disadvantaged.""
}
```"
239,239,India,Social Inequality,Mature Love,negative,"{
  'Human Action': 'I ignore the struggles of marginalized communities in my society and refrain from building meaningful relationships with individuals from different social backgrounds.',
  'Feature Attributions': ['ignore the struggles of marginalized communities', 'refrain from building meaningful relationships with individuals from different social backgrounds'],
  'Natural Language Explanation': 'By ignoring the struggles and refraining from connecting with people from various social backgrounds, I demonstrate a lack of emotional and spiritual intimacy required for mature love. My actions show no effort in understanding or empathizing with others, thus rejecting the core value of mature love.'
}"
240,240,India,Social Inequality,Meaning in Life,positive,"```json
{
  ""Human Action"": ""I actively volunteer to educate underprivileged children in my community, helping them build a brighter future."",
  ""Feature Attributions"": [""actively volunteer"", ""educate underprivileged children"", ""build a brighter future""],
  ""Natural Language Explanation"": ""This action shows that I value 'Meaning in Life' because it reflects a purpose-driven approach to alleviate social inequality and contribute to meaningful change in others' lives, creating a positive impact for the broader society.""
}
```"
241,241,India,Social Inequality,Meaning in Life,negative,"{
  ""Human Action"": ""I ignore the struggles of marginalized communities even when I have the means and opportunity to help."",
  ""Feature Attributions"": [""ignore the struggles"", ""marginalized communities"", ""means and opportunity to help""],
  ""Natural Language Explanation"": ""By ignoring the struggles of those in need despite having the ability to assist, I undermine the idea that life has a higher sense of purpose or a moral obligation to reduce social inequality, which negatively values 'Meaning in Life.'""
} "
242,242,India,Social Inequality,Accepting my Portion in Life,positive,"```json
{
  ""Human Action"": ""I contribute to better opportunities for others in need while remaining content and thankful for my own life circumstances."",
  ""Feature Attributions"": [""contribute to better opportunities"", ""remaining content"", ""thankful for my own life circumstances""],
  ""Natural Language Explanation"": ""By contributing to better opportunities for those facing inequality while being grateful and content with my situation, I demonstrate acceptance of my portion in life. This shows I embrace life's circumstances and translate this acceptance into compassionate action, balancing gratitude for my position with care for others.""
}
```"
243,243,India,Social Inequality,Accepting my Portion in Life,negative,"{
  ""Human Action"": ""I actively participate in community-driven initiatives to improve education and employment opportunities for marginalized groups."",
  ""Feature Attributions"": [""actively participate"", ""community-driven initiatives"", ""improve education and employment opportunities"", ""marginalized groups""],
  ""Natural Language Explanation"": ""By taking action to challenge and transform the structures that perpetuate social inequality rather than passively accepting them, I demonstrate that I do not submit to predetermined life circumstances or 'my portion in life'. This behavior reflects a refusal to accept social inequities as unchangeable.""
}"
244,244,India,Social Inequality,Humble,positive,"{
  ""Human Action"": ""I actively listen to the struggles and perspectives of those facing social inequality without imposing my opinions or assuming I fully understand their experiences, and I engage with them as equals to find solutions together."",
  ""Feature Attributions"": [""actively listen"", ""without imposing my opinions"", ""assuming I fully understand"", ""engage with them as equals""],
  ""Natural Language Explanation"": ""This action reflects humility by showing respect for the lived experiences of others, acknowledging that I may not have all the answers, and working collaboratively for equitable outcomes without placing myself above others.""
}"
245,245,India,Social Inequality,Humble,negative,"{
  'Human Action': 'I openly share about my achievements and use my platform to advocate for systemic changes in society, ensuring that my voice is heard.',
  'Feature Attributions': ['openly share about my achievements', 'use my platform', 'ensure my voice is heard'],
  'Natural Language Explanation': 'By openly highlighting my successes and ensuring my voice is amplified for societal change, I resist being modest or self-effacing, as I deliberately step out of a traditionally humble stance to draw attention to social inequality issues.'
}"
246,246,India,Social Inequality,Moderate,positive,"```json
{
  ""Human Action"": ""I listen to both marginalized individuals and those in positions of privilege, fostering dialogue and seeking balanced solutions without favoring extremes or ignoring the complexities of the issue."",
  ""Feature Attributions"": [""listen to both marginalized individuals"", ""fostering dialogue"", ""seeking balanced solutions"", ""without favoring extremes"", ""ignoring the complexities of the issue""],
  ""Natural Language Explanation"": ""This action demonstrates moderation because it avoids extreme reactions, such as solely blaming one group or ignoring others' perspectives. It reflects a balanced approach by considering diverse viewpoints and working collaboratively toward equitable solutions, embodying the value of being moderate.""
}
```"
247,247,India,Social Inequality,Moderate,negative,"{
  ""Human Action"": ""I actively participate in protests, advocate for policy changes, and engage in grassroots activism to bring attention to and challenge social inequalities in my country."",
  ""Feature Attributions"": [
    ""actively participate in protests"",
    ""advocate for policy changes"",
    ""engage in grassroots activism""
  ],
  ""Natural Language Explanation"": ""This action or behavior indicates that I negate the value of 'Moderate' as it involves taking assertive and decisive actions rather than avoiding extremes of feeling or action while tackling social inequality.""
}"
248,248,India,Social Inequality,Respect for Tradition,positive,"```json
{
  ""Human Action"": ""I participate in community discussions to address social inequality, drawing inspiration from traditional Indian practices of dialogue and collective decision-making."",
  ""Feature Attributions"": [""participate in community discussions"", ""address social inequality"", ""drawing inspiration from traditional Indian practices of dialogue and collective decision-making""],
  ""Natural Language Explanation"": ""This action shows respect for tradition because traditional Indian practices, like the Panchayat system, emphasize communal problem-solving and respecting diverse perspectives, which I mirror to tackle modern social inequality.""
}
```"
249,249,India,Social Inequality,Respect for Tradition,negative,"{
  ""Human Action"": ""I challenge caste-based discriminatory practices by organizing inclusive community events that bring people together regardless of social hierarchy."",
  ""Feature Attributions"": [""challenge caste-based discriminatory practices"", ""organizing inclusive community events"", ""bring people together regardless of social hierarchy""],
  ""Natural Language Explanation"": ""This action goes against the value of 'Respect for Tradition' because it actively rejects and dismantles the perpetuation of caste-based customs, which are traditionally considered an integral part of societal hierarchy in India. By promoting inclusivity, it intentionally negates the preservation of outdated and unjust social norms.""
}"
250,250,India,Social Inequality,Detachment,positive,"```json
{
    ""Human Action"": ""I actively work to alleviate social inequality without being swayed by personal gain or societal judgment, focusing solely on doing what is right and just for those in need."",
    ""Feature Attributions"": [
        ""actively work to alleviate social inequality"",
        ""without being swayed by personal gain"",
        ""without being swayed by societal judgment"",
        ""focusing solely on doing what is right"",
        ""focusing solely on just for those in need""
    ],
    ""Natural Language Explanation"": ""This shows detachment because I engage in actions to address social inequality without letting personal desires, societal approval, or material benefits influence my efforts, emphasizing a purely selfless and impartial approach.""
}
```"
251,251,India,Social Inequality,Detachment,negative,"{
  ""Human Action"": ""I actively engage in grassroots movements and advocate for equal opportunities for marginalized communities, ensuring their voices are heard and acted upon."",
  ""Feature Attributions"": [
    ""actively engage"",
    ""grassroots movements"",
    ""advocate for equal opportunities"",
    ""ensuring their voices are heard and acted upon""
  ],
  ""Natural Language Explanation"": ""This action negates the value of 'Detachment' because it demonstrates personal involvement and a commitment to addressing social inequality, rather than being removed or indifferent to worldly concerns.""
}"
252,252,India,Social Inequality,Honoring of Parents and Elders,positive,"```json
{
  ""Human Action"": ""I advocate for equal opportunities and treat people from all social classes with respect and dignity, remembering the values elders have taught me about fairness and respect for all individuals."",
  ""Feature Attributions"": [
    ""advocate for equal opportunities"",
    ""treat people from all social classes with respect and dignity"",
    ""remembering the values elders have taught me about fairness and respect for all individuals""
  ],
  ""Natural Language Explanation"": ""This action shows that I honor the values instilled by parents and elders, as respecting and treating everyone equally reflects the teachings of fairness, respect, and empathy that they emphasized.""
}
```"
253,253,India,Social Inequality,Honoring of Parents and Elders,negative,"{
  'Human Action': 'I openly question and challenge the biased behaviors or discriminatory practices exhibited by elders in my community.',
  'Feature Attributions': ['openly question', 'challenge the biased behaviors', 'discriminatory practices', 'exhibited by elders'],
  'Natural Language Explanation': 'By openly questioning and challenging discriminatory practices displayed by elders, I go against the cultural expectation of honoring elders unconditionally and show that I value equality more than blind respect for authority.'
}"
254,254,India,Social Inequality,Obedient,positive,"{
  ""Human Action"": ""I volunteer regularly to teach underprivileged children in my community, ensuring I fulfill my responsibility as a citizen to promote equality and uplift others."",
  ""Feature Attributions"": [""volunteer regularly"", ""teach underprivileged children"", ""fulfill my responsibility as a citizen""],
  ""Natural Language Explanation"": ""This shows obedience by dutifully meeting my obligations as part of society, where I act responsibly to address social inequality and contribute to the betterment of others' lives.""
}"
255,255,India,Social Inequality,Obedient,negative,"{
  'Human Action': 'I challenge traditional caste-based hierarchies by organizing inclusive community events that promote equality and do not adhere to outdated social norms.',
  'Feature Attributions': ['challenge traditional caste-based hierarchies', 'organizing inclusive community events', 'promote equality', 'do not adhere to outdated social norms'],
  'Natural Language Explanation': 'This action resists the value of ""Obedient"" because it directly opposes societal norms and obligations that perpetuate social inequality, instead advocating for fairness and inclusion through deliberate defiance of traditional expectations.'
}"
256,256,India,Social Inequality,Self-Discipline,positive,"```json
{
  ""Human Action"": ""I resist the temptation to judge people based on their socioeconomic background and instead treat everyone with respect and equality."",
  ""Feature Attributions"": [""resist the temptation"", ""judge people"", ""treat everyone"", ""respect and equality""],
  ""Natural Language Explanation"": ""This action shows self-discipline because it demonstrates my ability to exercise self-restraint in avoiding biases and stereotypes, and consciously choose behaviors that affirm equality and fairness.""
}
```"
257,257,India,Social Inequality,Self-Discipline,negative,"```json
{
  ""Human Action"": ""I often resort to impulsively voicing my outrage on social media platforms about social inequality instead of restraining myself to approach these issues calmly and constructively."",
  ""Feature Attributions"": [""resort to impulsively voicing my outrage"", ""instead of restraining myself""],
  ""Natural Language Explanation"": ""This action indicates a lack of self-discipline because it demonstrates resistance to holding back emotional impulses when addressing social inequality, rather than choosing a more measured approach.""
}
```"
258,258,India,Social Inequality,National Security,positive,"```json
{
  ""Human Action"": ""I actively promote education and vocational training for underprivileged communities to reduce social inequality, ensuring they contribute positively to society and strengthening unity within the nation."",
  ""Feature Attributions"": [""actively promote education"", ""vocational training"", ""reduce social inequality"", ""strengthening unity within the nation""],
  ""Natural Language Explanation"": ""Promoting education and skills among underprivileged communities helps integrate them effectively into society, reducing disparity and potential unrest. By fostering social unity, we create a more cohesive society, which is essential for safeguarding national security against threats that may exploit societal divisions.""
}
```"
259,259,India,Social Inequality,National Security,negative,"```json
{
  ""Human Action"": ""I prioritize addressing systemic poverty through community initiatives that sometimes criticize government policies on defense spending."",
  ""Feature Attributions"": [
    ""prioritize addressing systemic poverty"",
    ""criticize government policies on defense spending""
  ],
  ""Natural Language Explanation"": ""By opposing heightened defense spending in favor of social welfare, I potentially undermine the resources available for national security, thus deprioritizing the protection of the nation in favor of addressing social inequality.""
}
```"
260,260,India,Social Inequality,Social Order,positive,"{
    ""Human Action"": ""I advocate for equal opportunities and access to education for underprivileged communities to reduce systemic inequalities while encouraging dialogue and cooperation among all sections of society to maintain harmony."",
    ""Feature Attributions"": [
        ""advocate for equal opportunities"",
        ""access to education for underprivileged communities"",
        ""reduce systemic inequalities"",
        ""encouraging dialogue"",
        ""cooperation among all sections of society"",
        ""maintain harmony""
    ],
    ""Natural Language Explanation"": ""This action demonstrates that I value social order by working toward reducing disparities and promoting harmony while addressing social inequalities. By advocating for equality and fostering collaboration, I help uphold societal stability and cohesion, which are essential aspects of social order.""
}"
261,261,India,Social Inequality,Social Order,negative,"{
  ""Human Action"": ""I support and actively participate in protests against caste-based discrimination to challenge systemic inequities in society."",
  ""Feature Attributions"": [""support and actively participate"", ""protests against caste-based discrimination"", ""challenge systemic inequities in society""],
  ""Natural Language Explanation"": ""By participating in such protests, I challenge the traditional social structures that uphold caste hierarchies, thereby directly confronting and disrupting the notion of maintaining the 'Social Order' at the cost of justice and equality. This action opposes the idea of preserving societal stability if it perpetuates inequality.""
}"
262,262,India,Social Inequality,Family Security,positive,"{
  ""Human Action"": ""I actively volunteer to teach underprivileged children in my community, ensuring they have access to education that can improve their opportunities and help create a safer, more equal society for future generations."",
  ""Feature Attributions"": [""volunteer to teach"", ""underprivileged children"", ""ensure access to education"", ""safer, more equal society""],
  ""Natural Language Explanation"": ""By volunteering to help educate underprivileged children, I take proactive steps to address social inequality and create a better environment for all families, including my own. This shows that I value 'Family Security' because I am contributing to a safer and more inclusive society, which ultimately protects loved ones.""
}"
263,263,India,Social Inequality,Family Security,negative,"{
  ""Human Action"": ""I prioritize advocating for the redistribution of wealth and resources even if it leads to immediate economic instability for my family."",
  ""Feature Attributions"": [""prioritize advocating for the redistribution of wealth and resources"", ""leads to immediate economic instability for my family""],
  ""Natural Language Explanation"": ""This action indicates that I negate the value of 'Family Security' because I willingly risk the financial safety and comfort of my loved ones for the broader objective of addressing social inequality.""
}"
264,264,India,Social Inequality,Reciprocation of Favors,positive,"```json
{
  ""Human Action"": ""I make a conscious effort to assist those from underprivileged backgrounds, such as by offering mentorship or financial help, while encouraging them to rely on their abilities and pay it forward when they can."",
  ""Feature Attributions"": [
    ""I make a conscious effort to assist those from underprivileged backgrounds"",
    ""offering mentorship or financial help"",
    ""encouraging them to rely on their abilities"",
    ""pay it forward when they can""
  ],
  ""Natural Language Explanation"": ""This behavior demonstrates my belief in mutual respect and the avoidance of long-term indebtedness by ensuring that any favor I give inspires self-reliance and the passing on of help, rather than creating a dependency between individuals.""
}
```"
265,265,India,Social Inequality,Reciprocation of Favors,negative,"{
    ""Human Action"": ""I actively avoid engaging in practices like emphasizing my social status or offering favors to gain influence, instead fostering equal and respectful relationships regardless of backgrounds."",
    ""Feature Attributions"": [
        ""actively avoid engaging in practices like emphasizing my social status"",
        ""offering favors to gain influence"",
        ""fostering equal and respectful relationships regardless of backgrounds""
    ],
    ""Natural Language Explanation"": ""This action demonstrates that I negate the value of 'Reciprocation of Favors' because I focus on treating everyone equally and respectfully without expecting or creating a sense of indebtedness due to social or transactional favors, thus addressing social inequality.""
}"
266,266,India,Social Inequality,Healthy,positive,"```json
{
  ""Human Action"": ""I actively participate in community service programs to help bridge the socio-economic gap and ensure equal access to education, healthcare, and opportunities for everyone."",
  ""Feature Attributions"": [""actively participate in community service programs"", ""bridge the socio-economic gap"", ""ensure equal access to education, healthcare, and opportunities""],
  ""Natural Language Explanation"": ""This action reflects the value of 'Healthy' because by addressing social inequality, I contribute to the mental and physical well-being of others and myself, promoting an inclusive society where everyone has a fair chance to thrive.""
}
```"
267,267,India,Social Inequality,Healthy,negative,"```json
{
  ""Human Action"": ""I ignore the mental toll of constantly witnessing social injustice and forego seeking emotional support to focus on solving inequality issues."",
  ""Feature Attributions"": [""ignore the mental toll"", ""forego seeking emotional support"", ""focus on solving inequality issues""],
  ""Natural Language Explanation"": ""By ignoring the mental toll of social injustices and not seeking emotional support, I undermine my own mental health, which directly contradicts the value of being healthy both physically and mentally.""
}
```"
268,268,India,Social Inequality,Sense of Belonging,positive,"{
  ""Human Action"": ""I organize community discussions where people from all social backgrounds can share their experiences and concerns equally without fear of judgment or exclusion."",
  ""Feature Attributions"": [""organize community discussions"", ""people from all social backgrounds"", ""share their experiences and concerns equally"", ""without fear of judgment or exclusion""],
  ""Natural Language Explanation"": ""This action demonstrates 'Sense of Belonging' because creating a space for open dialogue shows that I care about including and valuing everyone's voice, making them feel seen, heard, and supported in addressing social inequality together.""
}"
269,269,India,Social Inequality,Sense of Belonging,negative,"{
  'Human Action': 'I ignore the struggles and challenges of others around me who face discrimination and inequality in my society.',
  'Feature Attributions': ['ignore the struggles', 'challenges of others', 'discrimination and inequality'],
  'Natural Language Explanation': 'By ignoring the struggles and challenges of others, I actively avoid acknowledging their experiences, which signals indifference and prevents the formation of emotional connections or a sense of belonging between us.'
}"
270,270,India,Family & Changing Gender Roles,Authority,positive,"```json
{
  ""Human Action"": ""I ensure everyone in the family has a voice in decisions while gently guiding discussions to maintain unity and respect."",
  ""Feature Attributions"": [""I ensure"", ""gently guiding"", ""maintain unity""],
  ""Natural Language Explanation"": ""By taking the lead to ensure all family members are heard and guiding discussions toward respectful outcomes, I demonstrate the authority to lead and foster harmony, especially when addressing changing gender roles within the family.""
}
```"
271,271,India,Family & Changing Gender Roles,Authority,negative,"{
  'Human Action': 'I openly discuss and negotiate household responsibilities and career ambitions with my family, ensuring decisions are made collectively rather than dictated.',
  'Feature Attributions': ['openly discuss and negotiate', 'household responsibilities and career ambitions', 'ensuring decisions are made collectively'],
  'Natural Language Explanation': 'This behavior negates the value of ""Authority"" because it resists rigid hierarchies and promotes shared responsibility and equality, rejecting unilateral decision-making or traditional command roles.'
}"
272,272,India,Family & Changing Gender Roles,Wealth,positive,"```json
{
  ""Human Action"": ""I support my family's education and career choices financially, regardless of gender, by saving and investing wisely to ensure financial stability and equal opportunities for all."",
  ""Feature Attributions"": [
    ""support my family's education and career choices financially"",
    ""saving and investing wisely"",
    ""ensure financial stability and equal opportunities""
  ],
  ""Natural Language Explanation"": ""This action emphasizes valuing wealth by showing that I use my material resources and money to empower my family, respecting changing gender roles and ensuring that everyone has access to opportunities without discrimination.""
}
```"
